Column 1,Column 2
4839,8809
A Young boy with surfboard in hand walking out to the water.: 1.0,A young boy with surfboard In hand walking aout to the water.: 0.9950329065322876
A yOung boy with surfboard in hand walking out to the water.: 1.0,A young boy with surfboard In hand walking out t the water.: 0.9941328763961792
A yoUng boy with surfboard in hand walking out to the water.: 1.0,A young boy with surfboard in hand walking Xout to the wateR.: 0.99350506067276
A youNg boy with surfboard in hand walking out to the water.: 1.0,A young boy wiTh surfboard in hand walking out to Fthe water.: 0.9934210181236267
A younG boy with surfboard in hand walking out to the water.: 1.0,A young Boy with surfboard in hand walking gut to the water.: 0.9921849966049194
A young Boy with surfboard in hand walking out to the water.: 1.0,A young boy with surfboard in hand walking oyt to the wateR.: 0.991633951663971
A young bOy with surfboard in hand walking out to the water.: 1.0,A young boY with surfboard in hand walking Wout to the water.: 0.9913089275360107
A young boY with surfboard in hand walking out to the water.: 1.0,A young boy with surfboard in hand walking oft t the water.: 0.9910261631011963
A young boy With surfboard in hand walking out to the water.: 1.0,A young boy with surfboard in hAnd walking out to Rthe water.: 0.9910041689872742
A young boy wIth surfboard in hand walking out to the water.: 1.0,A young boy with surfboard in hand walking out so Ethe water.: 0.9905813932418823
A young boy wiTh surfboard in hand walking out to the water.: 1.0,A young boy with surfboard in hand walkin ouRt to the water.: 0.9900280833244324
A young boy witH surfboard in hand walking out to the water.: 1.0,A young boy with surfboard on and walking out to the water.: 0.9898624420166016
A young boy with Surfboard in hand walking out to the water.: 1.0,A young boy with surfboard in hand walking out Go the wateR.: 0.9886084794998169
A young boy with sUrfboard in hand walking out to the water.: 1.0,A young boy with surfboard min hand walking out two the water.: 0.9880968332290649
A young boy with suRfboard in hand walking out to the water.: 1.0,A young boy wiTh surfboard in hand walking out ho the water.: 0.9880359768867493
A young boy with surFboard in hand walking out to the water.: 1.0,A young aboy with surfboard in hand walking Uout to the water.: 0.9879447221755981
A young boy with surfBoard in hand walking out to the water.: 1.0,A young boy with surfboard in hand walkin oit to the water.: 0.9878028035163879
A young boy with surfbOard in hand walking out to the water.: 1.0,A young boy with surfboard in hand walking out tYo jthe water.: 0.9875720739364624
A young boy with surfboArd in hand walking out to the water.: 1.0,A young boy with surfboard in hand walking out to kthe watEr.: 0.9871017336845398
A young boy with surfboaRd in hand walking out to the water.: 1.0,A young boy with surfboard in hand walking ou Kto the water.: 0.9870692491531372
A young boy with surfboarD in hand walking out to the water.: 1.0,A young boy with surfboard in hand walkng out to thE water.: 0.9870465993881226
A young boy with surfboard In hand walking out to the water.: 1.0,A young boy with surfboard in hand walking oout to athe water.: 0.9869989156723022
A young boy with surfboard iN hand walking out to the water.: 1.0,A yOung boy with surfboard in hand walkintg out to the water.: 0.9868473410606384
A young boy with surfboard in Hand walking out to the water.: 1.0,A young boy with surfboard on hand walking obut to the water.: 0.9866125583648682
A young boy with surfboard in hAnd walking out to the water.: 1.0,A young boy with surfboard in hand walkng out to he water.: 0.9863070249557495
A young boy with surfboard in haNd walking out to the water.: 1.0,A young boy with surfboard in hand walkiVg out to thE water.: 0.9863036870956421
A young boy with surfboard in hanD walking out to the water.: 1.0,A young boy with surfboard on hand walking out o the water.: 0.985860288143158
A young boy with surfboard in hand Walking out to the water.: 1.0,A young boy with surfboard in hand walkiig out to tHe water.: 0.9855837821960449
A young boy with surfboard in hand wAlking out to the water.: 1.0,A young boy wiht surfboard in hand walking oqt to the water.: 0.9854350686073303
A young boy with surfboard in hand waLking out to the water.: 1.0,A young boy with surfboard in hand walking oout t the water.: 0.985383152961731
A young boy with surfboard in hand walKing out to the water.: 1.0,A young boy with surfboard on hand bwalking out to the water.: 0.9853770732879639
A young boy with surfboard in hand walkIng out to the water.: 1.0,A young boy with surfboard in hand walking lout to he water.: 0.9853262901306152
A young boy with surfboard in hand walkiNg out to the water.: 1.0,A young boy with surfboard in hand walking ou t the water.: 0.9853048920631409
A young boy with surfboard in hand walkinG out to the water.: 1.0,A young boy with surfboard in and walking ou to the water.: 0.9850860238075256
A young boy with surfboard in hand walking Out to the water.: 1.0,A young boy with surfboard in hand walking oug o the water.: 0.9849203824996948
A young boy with surfboard in hand walking oUt to the water.: 1.0,A young boy with surFboard in hand walking out o the water.: 0.9847853779792786
A young boy with surfboard in hand walking ouT to the water.: 1.0,A young boy with surfboard in hand walkiny out to jthe water.: 0.9847705960273743
A young boy with surfboard in hand walking out To the water.: 1.0,A young boy With surfboard ih hand walking out to the water.: 0.9844194650650024
A young boy with surfboard in hand walking out tO the water.: 1.0,A young boy with surfboard in hand walking ouW to the wAter.: 0.9842802286148071
A young boy with surfboard in hand walking out to The water.: 1.0,A young boy with surfboard in hand walking ojut t the water.: 0.9841902256011963
A young boy with surfboard in hand walking out to tHe water.: 1.0,A young boy with surfboarC in Hand walking out to the water.: 0.9841815829277039
A young boy with surfboard in hand walking out to thE water.: 1.0,A young boy with surfboard in xhand walkin out to the water.: 0.9841596484184265
A young boy with surfboard in hand walking out to the Water.: 1.0,A young boy with surfboard iSn hHand walking out to the water.: 0.9841398596763611
A young boy with surfboard in hand walking out to the wAter.: 1.0,A young boy with surfboard ib hand walking put to the water.: 0.9840370416641235
A young boy with surfboard in hand walking out to the waTer.: 1.0,A young boy with surfboard in hand walkinF out o the water.: 0.9838988780975342
A young boy with surfboard in hand walking out to the watEr.: 1.0,A young boy with surfboard in hand walking out tyo ghe water.: 0.9838058352470398
A young boy with surfboard in hand walking out to the wateR.: 1.0,A young boy with surfboard in hand walking ou to Ethe water.: 0.9838001132011414
A young boy with surfboard in hand walking out to the water.: 1.0,A young boy with surfboard in hand walking oug ot the water.: 0.9837655425071716
A young boy with surfboard in hand Swalking out to the water.: 0.9976856708526611,A young boy with surfboard in and walking ot to the water.: 0.9836096167564392
A young boy with surfboard in hand swalking out to the water.: 0.9976856708526611,A young boy with surfboard in hand walking out Po Ethe water.: 0.9835880398750305
A young boy with surfboard in hand walking ouS to the water.: 0.9964306354522705,A young boy with surfboard in hand walking ouOt t the water.: 0.9834769368171692
A young boy with surfboard in hand walking ous to the water.: 0.9964306354522705,A young boy with surfboard an hand walking oeut to the water.: 0.9832934737205505
A young boy with surfboard in hand walking ouXt to the water.: 0.9960547089576721,A young boy with surfboard on hand walking ot to the water.: 0.9832626581192017
A young boy with surfboard in hand walking ouxt to the water.: 0.9960547089576721,A young boy with surfboard in hand walking Uut tO the water.: 0.9831482172012329
A young boy with surfboard in hand walking oNut to the water.: 0.9960540533065796,A young boy with surfboard in hand walking out t hhe water.: 0.983147382736206
A young boy with surfboard in hand walking onut to the water.: 0.9960540533065796,A young boy with surfboard in hand walking Jut ot the water.: 0.982968270778656
A young boy with surfboard in hand walking Yout to the water.: 0.9960251450538635,A young boy with surfboard iEn and walking out to the water.: 0.9829289317131042
A young boy with surfboard in hand walking yout to the water.: 0.9960251450538635,A young boy with surfboard it hand walking ouit to the water.: 0.9828471541404724
A young boy with surfboard in hand walking out to Ythe water.: 0.9958574771881104,A young boy with surfboard in hand walkin out to tghe water.: 0.982792854309082
A young boy with surfboard in hand walking out to ythe water.: 0.9958574771881104,A young boy with surfboard on hand walkign out to the water.: 0.9826598167419434
A young boy with surfboard in hand walking ouFt to the water.: 0.9958177208900452,A young boy with surfboard kn hand walking put to the water.: 0.9826086759567261
