Column 1,Column 2
4457,8139
A Cat is perched on the top of a toilet seat in the bathroom.: 1.0,A cat is perched on dthe top of a toilet seat in tHe bathroom.: 0.996420681476593
A cAt is perched on the top of a toilet seat in the bathroom.: 1.0,A cat is perched oN the top of a toilet seat in athe bathroom.: 0.9934648275375366
A caT is perched on the top of a toilet seat in the bathroom.: 1.0,A cat iS perched on te top of a toilet seat in the bathroom.: 0.9927967190742493
A cat Is perched on the top of a toilet seat in the bathroom.: 1.0,A cat is perched On te top of a toilet seat in the bathroom.: 0.9927967190742493
A cat iS perched on the top of a toilet seat in the bathroom.: 1.0,A cat is perched on the top of a toilet seat on jthe bathroom.: 0.9926778674125671
A cat is Perched on the top of a toilet seat in the bathroom.: 1.0,A cat is perched on thse top of a toilet seat In the bathroom.: 0.99208664894104
A cat is pErched on the top of a toilet seat in the bathroom.: 1.0,A cat is perched in Vthe top of a toilet seat in the bathroom.: 0.9919093251228333
A cat is peRched on the top of a toilet seat in the bathroom.: 1.0,A cat is Iperched on the top of a toilet seat in yhe bathroom.: 0.9914368391036987
A cat is perChed on the top of a toilet seat in the bathroom.: 1.0,A cat is perched on yhe top of a toilet seat in the Bathroom.: 0.9911071062088013
A cat is percHed on the top of a toilet seat in the bathroom.: 1.0,A cat is perched on gthe top of a toilet seat in he bathroom.: 0.9909668564796448
A cat is perchEd on the top of a toilet seat in the bathroom.: 1.0,A cat is perched on the top of a toilet seat in th bathrom.: 0.9909509420394897
A cat is percheD on the top of a toilet seat in the bathroom.: 1.0,A cat Is perched on the top of a toilet seat in the bathrom.: 0.9907094240188599
A cat is perched On the top of a toilet seat in the bathroom.: 1.0,A cat is Dperched on the top of a toilet seat in th bathroom.: 0.9906167387962341
A cat is perched oN the top of a toilet seat in the bathroom.: 1.0,A cat is perched on tthe top of a toilet Fseat in the bathroom.: 0.9904505014419556
A cat is perched on The top of a toilet seat in the bathroom.: 1.0,A cat is perched on the top of a toilet seat on th bathroom.: 0.9900970458984375
A cat is perched on tHe top of a toilet seat in the bathroom.: 1.0,A cat is Dperched on the top of a toilet pseat in the bathroom.: 0.9900074005126953
A cat is perched on thE top of a toilet seat in the bathroom.: 1.0,A cat is perched on the top of a toilet Seat in teh bathroom.: 0.9899442195892334
A cat is perched on the Top of a toilet seat in the bathroom.: 1.0,A cat Vis perched oN the top of a toilet seat in the bathroom.: 0.9896807074546814
