Column 1,Column 2
4026,5848
A Woman on a beach with four dogs and two large animals.: 1.0000001192092896,A woman on a beach with four dogs and Utwo lArge animals.: 0.9928134083747864
A wOman on a beach with four dogs and two large animals.: 1.0000001192092896,A woman on a beach with four dogs and Two large animalas.: 0.9927228093147278
A woMan on a beach with four dogs and two large animals.: 1.0000001192092896,A woman on a beacH with four dogs and tOo large animals.: 0.9911730289459229
A womAn on a beach with four dogs and two large animals.: 1.0000001192092896,A woman On a beach with four dogs and wo large animals.: 0.9904182553291321
A womaN on a beach with four dogs and two large animals.: 1.0000001192092896,A woman on a beach wIth four dogs and Ntwo large animals.: 0.9872919321060181
A woman On a beach with four dogs and two large animals.: 1.0000001192092896,A woman on a beach with foUr dogs an two large animals.: 0.9870510697364807
A woman oN a beach with four dogs and two large animals.: 1.0000001192092896,A woman on a beach with four dogS an two large animals.: 0.9870510697364807
A woman on a Beach with four dogs and two large animals.: 1.0000001192092896,A woman on a beach witH four dogs and two large animlas.: 0.9859730005264282
A woman on a bEach with four dogs and two large animals.: 1.0000001192092896,A woman on a beach with four dogs and two largE animlas.: 0.9859730005264282
A woman on a beAch with four dogs and two large animals.: 1.0000001192092896,A woman on a beach witH four dogs and tEo large animals.: 0.9856526851654053
A woman on a beaCh with four dogs and two large animals.: 1.0000001192092896,A woman on a beach with four dog and two nlarge animals.: 0.9854620099067688
A woman on a beacH with four dogs and two large animals.: 1.0000001192092896,A womAn on a beach with four dogs and two large animOls.: 0.9849870800971985
A woman on a beach With four dogs and two large animals.: 1.0000001192092896,A woman on a beach with four dogCs an two large animals.: 0.9847203493118286
A woman on a beach wIth four dogs and two large animals.: 1.0000001192092896,A woman on a beaCh with four dogs and two large naimals.: 0.9844505786895752
A woman on a beach wiTh four dogs and two large animals.: 1.0000001192092896,A woman on a beach with four dog and wo large animals.: 0.9837586283683777
A woman on a beach witH four dogs and two large animals.: 1.0000001192092896,A woman On a beach with four dogs and two large animats.: 0.9829384088516235
A woman on a beach with Four dogs and two large animals.: 1.0000001192092896,A woman on a beach with four dog and two large animls.: 0.9820193648338318
A woman on a beach with fOur dogs and two large animals.: 1.0000001192092896,A woman on a beach with four dog and two large animali.: 0.980900764465332
A woman on a beach with foUr dogs and two large animals.: 1.0000001192092896,A wOman on a beach with four dogs and two larqge animals.: 0.9803770184516907
A woman on a beach with fouR dogs and two large animals.: 1.0000001192092896,A woman on a beach With four dogs and tow large animals.: 0.9801653027534485
A woman on a beach with four Dogs and two large animals.: 1.0000001192092896,A woman on a beach with four dogs and tow large aniMals.: 0.9801653027534485
A woman on a beach with four dOgs and two large animals.: 1.0000001192092896,A woman in a beach with four dogs and Gtwo large animals.: 0.9801508188247681
A woman on a beach with four doGs and two large animals.: 1.0000001192092896,A woman in a beach with four dogs and etwo large animals.: 0.9800351858139038
A woman on a beach with four dogS and two large animals.: 1.0000001192092896,A woman on a beach with four dogs and ywo Rlarge animals.: 0.9796146750450134
A woman on a beach with four dogs And two large animals.: 1.0000001192092896,A woman on a beach with four Dogs and to large animals.: 0.9794178009033203
A woman on a beach with four dogs aNd two large animals.: 1.0000001192092896,A woman on a beach with four dogs and ntwo large animal.: 0.979283332824707
A woman on a beach with four dogs anD two large animals.: 1.0000001192092896,A wOman on a beach with four dogs aMnd two large animals.: 0.9792180061340332
A woman on a beach with four dogs and Two large animals.: 1.0000001192092896,A woman on a beach with four dogs an two large animal.: 0.9791195392608643
A woman on a beach with four dogs and tWo large animals.: 1.0000001192092896,A woman on a beach with four dog wnd two large animals.: 0.9790620803833008
A woman on a beach with four dogs and twO large animals.: 1.0000001192092896,A woman on a beach with four dogx and two large animalS.: 0.9788522124290466
A woman on a beach with four dogs and two Large animals.: 1.0000001192092896,A woman on a beach with four dog and Otwo large animals.: 0.9787888526916504
A woman on a beach with four dogs and two lArge animals.: 1.0000001192092896,A woman on a beach with four dogf and two llarge animals.: 0.9787840247154236
A woman on a beach with four dogs and two laRge animals.: 1.0000001192092896,A woman on a beach with four dog and to large animals.: 0.9787794351577759
A woman on a beach with four dogs and two larGe animals.: 1.0000001192092896,A woman on a beach Bwith four dogs and two Large animals.: 0.9787034392356873
A woman on a beach with four dogs and two largE animals.: 1.0000001192092896,A woman on a beach with four dogs and wo large abimals.: 0.978545069694519
A woman on a beach with four dogs and two large Animals.: 1.0000001192092896,A woman on a beach with four dogs and tow slarge animals.: 0.9784080386161804
A woman on a beach with four dogs and two large aNimals.: 1.0000001192092896,A woman on a beach with four dogs aNd tmo large animals.: 0.9782946705818176
A woman on a beach with four dogs and two large anImals.: 1.0000001192092896,A woman on a beach with four dogv an two large animals.: 0.9780628681182861
A woman on a beach with four dogs and two large aniMals.: 1.0000001192092896,A woman on a beach with four dogs And two largee animals.: 0.9778215289115906
A woman on a beach with four dogs and two large animAls.: 1.0000001192092896,A woman on a beach with four dog aYnd two large animals.: 0.9776191711425781
A woman on a beach with four dogs and two large animaLs.: 1.0000001192092896,A woman on a beach with four dog and tro large animals.: 0.9775909185409546
A woman on a beach with four dogs and two large animalS.: 1.0000001192092896,A woman on a beach with four dogs and tw large animal.: 0.9775801301002502
A woman on a beach with four dogs and two large animals.: 1.0000001192092896,A woman on a beach with four dog adn two large animals.: 0.9775277972221375
A womEn on a beach with four dogs and two large animals.: 0.9978622794151306,A woman in a beach with four dogs an two large animals.: 0.9775177836418152
A women on a beach with four dogs and two large animals.: 0.9978622794151306,A woman on a beach with four dogs aNd two lwrge animals.: 0.9770459532737732
A woman on a beach with four dogs and two large animal.: 0.996005117893219,A woman on a beach with four dog and two large anqimals.: 0.9768959879875183
A woman on a beach with four dogs and two Llarge animals.: 0.9957793354988098,A woman on a beach with four dogs and Ctwo large animale.: 0.9767685532569885
A woman on a beach with four dogs and two lLarge animals.: 0.9957793354988098,A womaN on a beach with four dogs and two lare animals.: 0.9766587018966675
A woman on a beach with four dogs and two llarge animals.: 0.9957793354988098,A woman on a beach with four dogs an two large auimals.: 0.9766499996185303
A woman on a beach with four dogs and two Rlarge animals.: 0.9955177307128906,A woman on a beach with four dog and two large animRals.: 0.9765778183937073
A woman on a beach with four dogs and two rlarge animals.: 0.9955177307128906,A woman on a beach with four dog nad two large animals.: 0.9763569235801697
A woman on a beach with four dogs and two Slarge animals.: 0.9947641491889954,A woman on a beach with four dogs an two large abimals.: 0.9763302206993103
A woman on a beach with four dogs and two slarge animals.: 0.9947641491889954,A woman on a beach with four dogs anD two large aniials.: 0.9758603572845459
A woman on a beach with four dog and two large animals.: 0.9940832257270813,A woman on a beach with four dogs an to large animals.: 0.975603461265564
A woman In a beach with four dogs and two large animals.: 0.993131697177887,A woman on a beach with four dog and tow large animals.: 0.9755378365516663
A woman in a beach with four dogs and two large animals.: 0.993131697177887,A woman on a beach with four Adogs amd two large animals.: 0.9754573702812195
A woman on a beach with four dogs and Utwo large animals.: 0.9928134083747864,A woman on a beach with four dogs an wo large animals.: 0.9753153324127197
A woman on a beach with four dogs and utwo large animals.: 0.9928134083747864,A woman in a beach with four dogs and tw large animals.: 0.9751781821250916
A woman on a beach with four dogs and two large animalAs.: 0.9927228093147278,A woman on a beach with four dog and tTwo large animals.: 0.9751109480857849
A woman on a beach with four dogs and two large animalas.: 0.9927228093147278,A woman on a beach with four dog and two larZe animals.: 0.9750750660896301
A woman on a beach with four dogs and two Ylarge animals.: 0.9925805926322937,A woman in a beach with four dogs adn two large animals.: 0.975041389465332
A woman on a beach with four dogs and two ylarge animals.: 0.9925805926322937,A woman in a beach with hfour dogs and two large animals.: 0.9748300909996033
A woman on a beach with four dogWs and two large animals.: 0.9925540685653687,A woman on a beach with four dogvs and Two large animals.: 0.9745822548866272
