Column 1,Column 2
4753,9224
THe small vase on the table is holding colorful flowers.: 1.0,The small vaSe on the table is holding colorful flower.: 0.9931111335754395
ThE small vase on the table is holding colorful flowers.: 1.0,The smalL vase on the table is holdint colorful flowers.: 0.9877676963806152
The Small vase on the table is holding colorful flowers.: 1.0,The small vase On the table is hllding colorful flowers.: 0.9853549599647522
The sMall vase on the table is holding colorful flowers.: 1.0,The small vase In he table is holding colorful flowers.: 0.9847819805145264
The smAll vase on the table is holding colorful flowers.: 1.0,The small vase on te table is holding colorful flower.: 0.9844962954521179
The smaLl vase on the table is holding colorful flowers.: 1.0,The small vase in Tthe table is holding colorful flowers.: 0.9844837188720703
The smalL vase on the table is holding colorful flowers.: 1.0,The small vase on thE table s holding colorful flowers.: 0.9843202829360962
The small Vase on the table is holding colorful flowers.: 1.0,The small vase on the table s hOlding colorful flowers.: 0.9843202829360962
The small vAse on the table is holding colorful flowers.: 1.0,The small vase on the table is hording coloUrful flowers.: 0.9842913746833801
The small vaSe on the table is holding colorful flowers.: 1.0,The small vase on the table is hoding Ncolorful flowers.: 0.9839924573898315
The small vasE on the table is holding colorful flowers.: 1.0,The small vase on the table is ohlding Rcolorful flowers.: 0.9837327599525452
The small vase On the table is holding colorful flowers.: 1.0,The small vase on the table is uholding colorkful flowers.: 0.983275294303894
The small vase oN the table is holding colorful flowers.: 1.0,The small vase on tMhe table is holding coloRful flowers.: 0.9830435514450073
The small vase on The table is holding colorful flowers.: 1.0,The small vase on the table is holding colOrful vlowers.: 0.9830319285392761
The small vase on tHe table is holding colorful flowers.: 1.0,The small vase on he table is hoLding colorful flowers.: 0.9828178882598877
The small vase on thE table is holding colorful flowers.: 1.0,The small vase on he table is holdIng colorful flowers.: 0.9828178882598877
The small vase on the Table is holding colorful flowers.: 1.0,The small vase on thfe table is holding colorful lflowers.: 0.98274827003479
The small vase on the tAble is holding colorful flowers.: 1.0,The small vase on Ethe table is holding colorful flowes.: 0.9825518727302551
The small vase on the taBle is holding colorful flowers.: 1.0,The small vase on te table is holding coloTrful flowers.: 0.9818512797355652
The small vase on the tabLe is holding colorful flowers.: 1.0,The small vase In the table is holding colorful floers.: 0.9818492531776428
The small vase on the tablE is holding colorful flowers.: 1.0,The small vase on the table s holding fcolorful flowers.: 0.9817224144935608
The small vase on the table Is holding colorful flowers.: 1.0,The small vase on te table is holding colorful flowerSs.: 0.9816120266914368
The small vase on the table iS holding colorful flowers.: 1.0,The small vase on te table is holding Kcolorful flowers.: 0.9815810322761536
The small vase on the table is Holding colorful flowers.: 1.0,THe small vase on the table is holIding colorful flowers.: 0.9812071323394775
The small vase on the table is hOlding colorful flowers.: 1.0,The small vase on te table is holding colorful flowes.: 0.9807600975036621
The small vase on the table is hoLding colorful flowers.: 1.0,The small vase on te table is holding colorful folwers.: 0.9805976152420044
The small vase on the table is holDing colorful flowers.: 1.0,The small vase on the table is holing colorHful flowers.: 0.9803757071495056
The small vase on the table is holdIng colorful flowers.: 1.0,The small vase pon the table is iholding colorful flowers.: 0.9802539944648743
The small vase on the table is holdiNg colorful flowers.: 1.0,The small vase on te table is hlding colorful flowers.: 0.9802368879318237
The small vase on the table is holdinG colorful flowers.: 1.0,The small vase on hte table is holding colorFul flowers.: 0.9799039363861084
The small vase on the table is holding Colorful flowers.: 1.0,The small vase on the table is hloding colorful flower.: 0.9798104166984558
The small vase on the table is holding cOlorful flowers.: 1.0,The small vase on jthe table is holing colorful flowers.: 0.9797292351722717
The small vase on the table is holding coLorful flowers.: 1.0,The small vase on the table is holfing colorDful flowers.: 0.9796988368034363
The small vase on the table is holding colOrful flowers.: 1.0,The small vase on Sthe table is holdivg colorful flowers.: 0.9796708226203918
The small vase on the table is holding coloRful flowers.: 1.0,The small vase on Wthe table is holding coloful flowers.: 0.9796454310417175
The small vase on the table is holding colorFul flowers.: 1.0,The small vase on wthe table is holding coloful flowers.: 0.9796454310417175
The small vase on the table is holding colorfUl flowers.: 1.0,ThE small vase on fhe table is holding colorful flowers.: 0.9795264005661011
The small vase on the table is holding colorfuL flowers.: 1.0,The small vase on the table bs holdiNg colorful flowers.: 0.979396641254425
The small vase on the table is holding colorful Flowers.: 1.0,The small vase on he table is hoNlding colorful flowers.: 0.9792428612709045
The small vase on the table is holding colorful fLowers.: 1.0,The small vase on rhe table is holding Dcolorful flowers.: 0.9791930913925171
The small vase on the table is holding colorful flOwers.: 1.0,The small vase on te table is holding coloful flowers.: 0.9791744351387024
The small vase on the table is holding colorful floWers.: 1.0,The small vase in the table is holding colorfil flowers.: 0.9791675806045532
The small vase on the table is holding colorful flowErs.: 1.0,The small vase on Pthe table is hplding colorful flowers.: 0.9791445732116699
The small vase on the table is holding colorful floweRs.: 1.0,THe small vase on the table is olding colorful flowers.: 0.9791242480278015
The small vase on the table is holding colorful flowerS.: 1.0,The small vase on Gthe table is holding coloful flowers.: 0.9790179133415222
The small vase on the table is holding colorful flowers.: 1.0,The small vase on the table is holing colorful Oflowers.: 0.9789911508560181
the small vase on the table is holding colorful flowers.: 1.0,The small vase on pthe table s holding colorful flowers.: 0.9789909720420837
The small vase on the table is holding Lcolorful flowers.: 0.9979077577590942,The small vase on te table is holding colorful Aflowers.: 0.9788625836372375
The small vase on the table is holding lcolorful flowers.: 0.9979077577590942,The small vase on tte tabLe is holding colorful flowers.: 0.9788335561752319
The small vase on the table is holding Ncolorful flowers.: 0.9973440170288086,The small vase on the table is hoding colorful flower.: 0.9788187146186829
The small vase on the table is holding ncolorful flowers.: 0.9973440170288086,The small vase on te table is holding colorful flewers.: 0.9786385297775269
The small vase on the table is holding Fcolorful flowers.: 0.9973335862159729,The small vase on he table is hloding colorful flowers.: 0.9785622954368591
The small vase on the table is holding fcolorful flowers.: 0.9973335862159729,The small vase on he table is holding colorful flower.: 0.9785091876983643
The small vase on the table is holding Hcolorful flowers.: 0.9973211288452148,The small vase on te table is holding colorful flowerd.: 0.9784626960754395
The small vase on the table is holding hcolorful flowers.: 0.9973211288452148,The small vase in the table s holding colorful flowers.: 0.9783612489700317
The small vase on the table is holding Wcolorful flowers.: 0.9971550107002258,The small vase on te table is holdkng colorful flowers.: 0.9783153533935547
The small vase on the table is holding wcolorful flowers.: 0.9971550107002258,The small vase on the table is holdinCg coloful flowers.: 0.9782693982124329
