Column 1,Column 2
4760,5539
A Large white dog is sitting on a bench beside an elderly man.: 1.0,A large white dog is sitting on a bench beside a eldeRly man.: 0.9997552037239075
A lArge white dog is sitting on a bench beside an elderly man.: 1.0,A large white dog is Vsitting on a bench beside a elderly man.: 0.9954892992973328
A laRge white dog is sitting on a bench beside an elderly man.: 1.0,A large white dog s sitting on a Bench beside an elderly man.: 0.9947333335876465
A larGe white dog is sitting on a bench beside an elderly man.: 1.0,A large white dog s sitting on a bench beside a elderly man.: 0.9943678975105286
A largE white dog is sitting on a bench beside an elderly man.: 1.0,A large white dog is gsitting on a bench beside aN elderly man.: 0.9930071234703064
A large White dog is sitting on a bench beside an elderly man.: 1.0,A large white dog is sittZing in a bench beside an elderly man.: 0.9917646050453186
A large wHite dog is sitting on a bench beside an elderly man.: 1.0,A large white dog is sitting own a bench beside a elderly man.: 0.9910988211631775
A large whIte dog is sitting on a bench beside an elderly man.: 1.0,A large white dog js sitting on a bench beside a elderly man.: 0.9903903007507324
A large whiTe dog is sitting on a bench beside an elderly man.: 1.0,A large white dog ia sitting on a bench beside a elderly man.: 0.9900521039962769
A large whitE dog is sitting on a bench beside an elderly man.: 1.0,A large white dog in sitting in a bench beside an elderly man.: 0.9894735217094421
A large white Dog is sitting on a bench beside an elderly man.: 1.0,A large white dog iFs sitting on a bench beside a elderly man.: 0.9891419410705566
A large white dOg is sitting on a bench beside an elderly man.: 1.0,A large white dog is sittMing on a bench beside a elderly man.: 0.9886005520820618
A large white doG is sitting on a bench beside an elderly man.: 1.0,A large white dog is sitting oIn a bench beside a elderly man.: 0.9869740605354309
A large white dog Is sitting on a bench beside an elderly man.: 1.0,A large white dog js sitting on a bench hbeside an elderly man.: 0.9860791563987732
A large white dog iS sitting on a bench beside an elderly man.: 1.0,A large white dog is sitXing on a bench beside a elderly man.: 0.9859880208969116
A large white dog is Sitting on a bench beside an elderly man.: 1.0,A large white dog os sitting on a bench beside a elderly man.: 0.9859307408332825
A large white dog is sItting on a bench beside an elderly man.: 1.0,A large white dog is sitqting on a bench beside a elderly man.: 0.9855009913444519
A large white dog is siTting on a bench beside an elderly man.: 1.0,A large white dog is sitting on a rbench beside a elderly man.: 0.9851550459861755
A large white dog is sitTing on a bench beside an elderly man.: 1.0,A large white dog id sitting in a bench beside an elderly man.: 0.9846080541610718
A large white dog is sittIng on a bench beside an elderly man.: 1.0,A large white dog is sitting on a bench beside a Xelderly man.: 0.9839440584182739
