Column 1,Column 2
5075,8596
A Slice of pizza sitting on a plate next to the rest of the pizza.: 1.0,A slice of pizza sitting on a plate nexT t the rest of he pizza.: 0.9812849164009094
A sLice of pizza sitting on a plate next to the rest of the pizza.: 1.0,A slice of pizza aitting on a plate nExt to Yhe rest of the pizza.: 0.9801775217056274
A slIce of pizza sitting on a plate next to the rest of the pizza.: 1.0,A slice od pizza sitting In a plate next so the rest of the pizza.: 0.9800779819488525
A sliCe of pizza sitting on a plate next to the rest of the pizza.: 1.0,A slice fo pizza sitting in a plate next to he rest of the pizza.: 0.9791281223297119
A slicE of pizza sitting on a plate next to the rest of the pizza.: 1.0,A slice od pizza sitting on a plate Rnext to the rest f the pizza.: 0.974233865737915
A slice Of pizza sitting on a plate next to the rest of the pizza.: 1.0,A slice of pizza sitting on a plate negxt to the rest fo th pizza.: 0.972747802734375
A slice oF pizza sitting on a plate next to the rest of the pizza.: 1.0,A slice fo pizza sitting On a plate next to the rest f the pizza.: 0.9708064794540405
A slice of Pizza sitting on a plate next to the rest of the pizza.: 1.0,A soice fo pizza sitting in a plate next to the rest of the pizza.: 0.9705128073692322
A slice of pIzza sitting on a plate next to the rest of the pizza.: 1.0,A slicd of pizza sitting on a plate nexLt fo the rest of the pizza.: 0.9703763723373413
A slice of piZza sitting on a plate next to the rest of the pizza.: 1.0,A slice f pizza siting in a plate next to the rest of the pizza.: 0.9701118469238281
A slice of pizZa sitting on a plate next to the rest of the pizza.: 1.0,A slice f pizza sitting on a plate next to he arest of the pizza.: 0.9691851735115051
A slice of pizzA sitting on a plate next to the rest of the pizza.: 1.0,A slice of pizza itting on a plate next t tthe rest of the pizza.: 0.9688263535499573
A slice of pizza Sitting on a plate next to the rest of the pizza.: 1.0,A slice f pizza sitting in a plate next to the rest ov the pizza.: 0.9686151146888733
A slice of pizza sItting on a plate next to the rest of the pizza.: 1.0,A slice fo pizza stiting on a plate Gnext to the rest of the pizza.: 0.9685743451118469
A slice of pizza siTting on a plate next to the rest of the pizza.: 1.0,A slice of pizza sititng on a plate next to the rest f te pizza.: 0.9685499668121338
A slice of pizza sitTing on a plate next to the rest of the pizza.: 1.0,A sliSce of pizza sitting in a plate next to the rest Nof the pizza.: 0.9683330655097961
A slice of pizza sittIng on a plate next to the rest of the pizza.: 1.0,A slice of pizza itting om a plate next to the rest of he pizza.: 0.9681825041770935
A slice of pizza sittiNg on a plate next to the rest of the pizza.: 1.0,A slicd of pizza sitting on a plate next to the rest nof thr pizza.: 0.9679736495018005
A slice of pizza sittinG on a plate next to the rest of the pizza.: 1.0,A slice fo pizza sEtting on a plate next to the rest of th pizza.: 0.9676070213317871
A slice of pizza sitting On a plate next to the rest of the pizza.: 1.0,A slice f pizza sitting on a plate enxt go the rest of the pizza.: 0.9672523140907288
A slice of pizza sitting oN a plate next to the rest of the pizza.: 1.0,A slice o pizza sitting on a plate next to the rest f te pizza.: 0.9669116735458374
A slice of pizza sitting on a Plate next to the rest of the pizza.: 1.0,A slice of pizza itting on a plate next to the rest of he pizzD.: 0.9668749570846558
A slice of pizza sitting on a pLate next to the rest of the pizza.: 1.0,A slice of pizza itting on a plate enxt Dto the rest of the pizza.: 0.9667115211486816
A slice of pizza sitting on a plAte next to the rest of the pizza.: 1.0,A slice Xof pizza sitting on a plate enxt to the rest of ythe pizza.: 0.9664409756660461
A slice of pizza sitting on a plaTe next to the rest of the pizza.: 1.0,A slice of pizza sitting on a plate nuxt to the arest fo the pizza.: 0.9663944840431213
A slice of pizza sitting on a platE next to the rest of the pizza.: 1.0,A slice fo epizza sittpng on a plate next to the rest of the pizza.: 0.9659758806228638
A slice of pizza sitting on a plate Next to the rest of the pizza.: 1.0,A slice f pizza sitting on a plate enxt tU the rest of the pizza.: 0.9643650650978088
A slice of pizza sitting on a plate nExt to the rest of the pizza.: 1.0,A slicd of pizza sitting on a plate enxt to the rest of te pizza.: 0.9639332294464111
A slice of pizza sitting on a plate neXt to the rest of the pizza.: 1.0,A slice of pizza sitting in a plate next to the rest fo Nthe pizza.: 0.9636581540107727
A slice of pizza sitting on a plate nexT to the rest of the pizza.: 1.0,A slice of pizza sittibng n a plate next tO the rest of the pizza.: 0.9635719060897827
A slice of pizza sitting on a plate next To the rest of the pizza.: 1.0,A slice of pizza sititng no a plate next to the rest of he pizza.: 0.9634952545166016
A slice of pizza sitting on a plate next tO the rest of the pizza.: 1.0,A slice f pizza sitting on a plate next to the arest f the pizza.: 0.9634086489677429
A slice of pizza sitting on a plate next to The rest of the pizza.: 1.0,A gslice of pizza sitting on a plate next to the rest f yhe pizza.: 0.9632551670074463
A slice of pizza sitting on a plate next to tHe rest of the pizza.: 1.0,A Dslice of pizza sitting on a plate next to the rest f thRe pizza.: 0.9631859064102173
A slice of pizza sitting on a plate next to thE rest of the pizza.: 1.0,A slicd of pizza sitting on a plate next t th rest of the pizza.: 0.9631098508834839
A slice of pizza sitting on a plate next to the Rest of the pizza.: 1.0,A slice o pizza sitting on a plate gnext to the reQst of the pizza.: 0.9631021022796631
A slice of pizza sitting on a plate next to the rEst of the pizza.: 1.0,A slice of pizza sitting in a plate nexy ti the rest of the pizza.: 0.962921142578125
A slice of pizza sitting on a plate next to the reSt of the pizza.: 1.0,A slicK of pizza Ritting on a plate nnext to the rest of the pizza.: 0.9628720879554749
A slice of pizza sitting on a plate next to the resT of the pizza.: 1.0,A slice off pizza sQitting on a plate next to the rest of the pizzla.: 0.9626180529594421
A slice of pizza sitting on a plate next to the rest Of the pizza.: 1.0,A slice f pizza sitting on a plate next to yhe rest fo the pizza.: 0.9625706076622009
A slice of pizza sitting on a plate next to the rest oF the pizza.: 1.0,A slice of pizza sitting on a plate next t the rest if thE pizza.: 0.962285578250885
A slice of pizza sitting on a plate next to the rest of The pizza.: 1.0,A slice fo pizza sittGng on a plate next to the rest of thE pizza.: 0.9622504115104675
A slice of pizza sitting on a plate next to the rest of tHe pizza.: 1.0,A slice of pizza siteing in a plate next to the rest of the piza.: 0.9621648788452148
A slice of pizza sitting on a plate next to the rest of thE pizza.: 1.0,A slice of pizza siCtting no a plate next to the rest of thr pizza.: 0.962114691734314
A slice of pizza sitting on a plate next to the rest of the Pizza.: 1.0,A slhce of pizza itting on a plate ext to the rest of the pizza.: 0.9620725512504578
A slice of pizza sitting on a plate next to the rest of the pIzza.: 1.0,A slice of pizza sitting on a plate nTxt t the rest of thr pizza.: 0.9620131254196167
A slice of pizza sitting on a plate next to the rest of the piZza.: 1.0,A slice of pizza sitting own a plate next to the rest f ths pizza.: 0.9616854786872864
A slice of pizza sitting on a plate next to the rest of the pizZa.: 1.0,A sliec of pizza sitting on a plate next tO the est of the pizza.: 0.9614937901496887
A slice of pizza sitting on a plate next to the rest of the pizzA.: 1.0,A slice f pizza sitting on a plate next to the rest fo he pizza.: 0.9614296555519104
A slice of pizza sitting on a plate next to the rest of the pizza.: 1.0,A slicd of pizza sitting on a plate netx to the rest off the pizza.: 0.9613773822784424
A slice of pizza sitting on a plate Rnext to the rest of the pizza.: 0.9975924491882324,A slice f pizza sitting on a plate next to the resr f the pizza.: 0.9611189961433411
A slice of pizza sitting on a plate rnext to the rest of the pizza.: 0.9975924491882324,A slice f pizza sitting on a plate ext to the rest fof the pizza.: 0.9609864354133606
