Column 1,Column 2,Column 3,Column 4
5362,8007,3917,747
A Rowboat on a misty lake surrounded by overhanging willow branches.: 1.0000001192092896,A rowboAt on a misty lake surrounded by ooverhanging willow branches.: 0.9929949641227722,A rowboat in a misty lake surrounded by ovehanging willow branchWes.: 0.978175938129425,A rowboat in a misty lake surrounded y overYhanging willow branchps.: 0.9597490429878235
A rOwboat on a misty lake surrounded by overhanging willow branches.: 1.0000001192092896,A rowboat in a misty lake surrounded by overhanging willow cbranches.: 0.9927093982696533,A rowboat in a misty lake surrounded vy oveSrhanging willow branches.: 0.9771573543548584,A rowboat in a misty lLake surronded by overanging willow branches.: 0.9596457481384277
A roWboat on a misty lake surrounded by overhanging willow branches.: 1.0000001192092896,A rowboaT on a misty lake surrounded by lverhanging willow branches.: 0.9908226132392883,A rRowboat on a misty lake surrounded by verhanging lwillow branches.: 0.9739534258842468,A rowboat on a misty ulake surorunded by oveghanging willow Branches.: 0.9471683502197266
A rowBoat on a misty lake surrounded by overhanging willow branches.: 1.0000001192092896,A rowboat on a misty lake dsurrounded by ovedhanging willow branches.: 0.9903470873832703,A rowboat on a misty lakE surrounded by ovgerhanging willow branrches.: 0.9720848798751831,A rowboat on a misty llake surrunded bu overhaNging willow branches.: 0.9428006410598755
A rowbOat on a misty lake surrounded by overhanging willow branches.: 1.0000001192092896,A rowboat oN a misty lake surrounded by overanging willow branches.: 0.9902195334434509,A rowboat in a misty lake surrounded by overanging willow branchee.: 0.9704160690307617,A rowboat on a misty lake rsurrounded b ovrehanging willow brancues.: 0.9421402812004089
A rowboAt on a misty lake surrounded by overhanging willow branches.: 1.0000001192092896,A rowboat on a misty lake suRrounded by overhaRnging willow branches.: 0.9890164136886597,A rowBoat on a misty lak surrounded by overhanging willow branchse.: 0.969032347202301,A rowboat in a misty lake surrounded b ovehanging willow barnches.: 0.9358789324760437
A rowboaT on a misty lake surrounded by overhanging willow branches.: 1.0000001192092896,A rowboat on a misty lake Gsurrounded by ovrehanging willow branches.: 0.9889827370643616,A rowboat on a misty Klake Jsurrounded by overhanging willow brancheds.: 0.9678056240081787,A rowboat on a mist lakB surrounded by overhanhing willow brancHes.: 0.9355910420417786
A rowboat On a misty lake surrounded by overhanging willow branches.: 1.0000001192092896,A rrowboat on a misty lake surrounded by overYhanging willow branches.: 0.9886817336082458,A rowboat on a misty lake surrouned by overhanging willoW branchse.: 0.9652502536773682,A rowboat in a misty lake surrounde by ovefhanging willow brnches.: 0.9348692893981934
A rowboat oN a misty lake surrounded by overhanging willow branches.: 1.0000001192092896,A mrowboat on a misty lake surrounded by overhanging wIllow branches.: 0.9877757430076599,A rowboat on a misty Llake surrounded by verhanging willow bfanches.: 0.9647243618965149,A rowboat on a misty ake surrounde b ovrhanging willow branches.: 0.9331899285316467
