Column 1,Column 2,Column 3,Column 4
6651,9887,9085,6901
A Snowy village square with a charming fountain and children building snowmen.: 1.0,A snowy villaGe square with a Pcharming fountain and children building snowmen.: 0.9961559772491455,A snowy village square with a charming fountain aNd chidren builing snowmen.: 0.9851402640342712,A snowy village square wIth a charming fountain Qand chgldren builwing snowmen.: 0.9767783284187317
A sNowy village square with a charming fountain and children building snowmen.: 1.0,A snowy vIllage square with a charming fountain and children builfing snowmen.: 0.9937427043914795,A snowy village square with a charKing fountain and chiidren buildng snowmen.: 0.980898380279541,A snowy village square with a ocharming yfountain and childLen buildng snowmen.: 0.9746438264846802
A snOwy village square with a charming fountain and children building snowmen.: 1.0,A snowy village square with a charming fountain and children buildng snowmEn.: 0.9936871528625488,A snowy village square with a charmitg fountain and chlidren buildinJ snowmen.: 0.9803440570831299,A snowy village square with a charing fountain an cihldren builxing snowmen.: 0.9734772443771362
A snoWy village square with a charming fountain and children building snowmen.: 1.0,A snowy village square wit a charminG fountain and children building snowmen.: 0.9932124614715576,A snowy village square with a Bcharming fountain and childern buildig snowmen.: 0.9770647883415222,A snowy village square with a tcharming Qfountain and childlen buliding snowmen.: 0.9648199081420898
A snowY village square with a charming fountain and children building snowmen.: 1.0,A snowy village square with a chaRming fountain and children builing snowmen.: 0.9918147325515747,A snowy village square with a chaMrming fountain and children buildinmg gsnowmen.: 0.9768438339233398,A snowy village square with a hcarming fountain aDnd chiIdren guilding snowmen.: 0.9646880626678467
A snowy Village square with a charming fountain and children building snowmen.: 1.0,A snowy village square with a charming fountain and chIldren buildinS snowmen.: 0.9915605783462524,A snowy village square wit a chTrming fountain and children Nbuilding snowmen.: 0.9768375158309937,A snowy village square with a charimng fountain adn childern buwilding snowmen.: 0.9638658165931702
A snowy vIllage square with a charming fountain and children building snowmen.: 1.0,A snowy village square with a charming fountain and children buildign snoWmen.: 0.9912986755371094,A snowy village square with a charmLing fountain and chlidren builddng snowmen.: 0.9767704606056213,A snowy village square with a fharming fountain an hildren builing snowmen.: 0.962512731552124
A snowy viLlage square with a charming fountain and children building snowmen.: 1.0,A snowy village square with a charming fountain aNd children buildinh snowmen.: 0.9909128546714783,A snowy village square with a xharming fountain and chbldren builidng snowmen.: 0.9767293334007263,A snowy village square with a charmjng fountain atnd cihldren guilding snowmen.: 0.9620754718780518
A snowy vilLage square with a charming fountain and children building snowmen.: 1.0,A snowy village lsquare with a charming Yfountain and children building snowmen.: 0.9899150133132935,A snowy village square wit a charmign fountain and children buildinv snowmen.: 0.9766779541969299,A snowy village square with a charimng fountain an childreb buildiyng snowmen.: 0.9618870615959167
A snowy villAge square with a charming fountain and children building snowmen.: 1.0,A snowy village square with a charming fountain and children ybuilding Rsnowmen.: 0.9898732304573059,A snowy village square wth a hcarming fountain and children buildinb snowmen.: 0.9760500192642212,A snowy village square with a chraming fountain Iand childrwn bilding snowmen.: 0.9618289470672607
A snowy villaGe square with a charming fountain and children building snowmen.: 1.0,A snowy village square wit a charming fountain and children builzing snowmen.: 0.9897652864456177,A snowy village square wit a chGrming fountain and children bilding snowmen.: 0.9760454297065735,A snowy village square with a cahrming fountain anHd chlidren buildTng snowmen.: 0.9602414965629578
A snowy villagE square with a charming fountain and children building snowmen.: 1.0,A snowy village squAre with a charming fountain and children bulding snowmen.: 0.9893158078193665,A snowy village square with a charming fountain adn cihldren builfing snowmen.: 0.975847065448761,A snowy village square with a harming Jfountain and chlidren nuilding snowmen.: 0.9597594141960144
