Column 1,Column 2,Column 3,Column 4
6046,8483,6598,4062
A Solitary boat gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat gliFding on a moonlit lake surrounded By serene mountains.: 0.9946994781494141,A Solitary boat goiding on a moonlit lake surrounded by serene mountain.: 0.9804951548576355,A solitary boat glidinLg in a moonlit lake surronded by Serene mountains.: 0.9692622423171997
A sOlitary boat gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat gliding in a moonlit lake surounded by serene mountains.: 0.9903690218925476,A solitary boat glidin on a moonlit lake surrounded by Serene ountains.: 0.9771261811256409,A solitary boat goiding in a moonlit lake surrounsed by serene mouxtains.: 0.9616925120353699
A soLitary boat gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat gliding oN a moonlit lake surrounded by serene ountains.: 0.9902181029319763,A solitary boat gliding in a moonlit lake surounded by serene mountain.: 0.9767481684684753,A solitaty boat glding on a moonlit lake surrounded y sreene mountains.: 0.9613491892814636
A solItary boat gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary bOat glding on a moonlit lake surrounded by serene mountains.: 0.9901341199874878,A solitary boat lgiding on a moonllit lake surrounXed by serene mountains.: 0.9763702750205994,A solitry boat giding on a moonlit lak surrounded by serene aountains.: 0.9600846767425537
A soliTary boat gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat glding on a moonlit lake surrounded by serene Mountains.: 0.9901341199874878,A solitary boat glding on a moontlit lake surrunded by serene mountains.: 0.9759306907653809,A solitary boat liding on a moonlit lake fsurrounded by werene moutains.: 0.9593670964241028
A solitAry boat gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat gliding oWn a moonlit laKe surrounded by serene mountains.: 0.9899722933769226,A solitary boat fliding on a moonlit lake surrounwed by serene myountains.: 0.9756562113761902,A solitary boat glidung on a moonlit lake Furrounded y serene mounLtains.: 0.957965075969696
A solitaRy boat gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat giiding on a moonlit lake csurrounded by serene mountains.: 0.989145040512085,A solitary boat gliding in a moonlit ake surrounsed by serene mountains.: 0.9750578999519348,A solitary boat gliding on a moonlit lake surrounsed y sreene jountains.: 0.9573189616203308
A solitarY boat gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat gliding on a moonlit Lake surroUunded by serene mountains.: 0.9888913035392761,A solitary Eboat giding on a moonlit lake surrounde by serene mountains.: 0.9747540354728699,A solitary boat glding om a moonlit lake surounded by sreene mountains.: 0.9569725394248962
A solitary Boat gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat vgliding on a moonllit lake surrounded by serene mountains.: 0.9888303279876709,A solitary boat gliuing on a moonlit lake surrouned by serene ountains.: 0.9747334718704224,A solitary boat gliding oHn a moonlit lakW surrounled y serene mountains.: 0.9555752873420715
A solitary bOat gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat glDiding on a moonlit lake surrounded bY serene mountains.: 0.9883298277854919,A solitary boat glidFing on a moonlit lake surrounled gy serene mountains.: 0.9743331670761108,A solitary dboat mliding on a moonlit lAke surrouned by serene mountains.: 0.9555587768554688
A solitary boAt gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat glidin on a moonlit lake surrounded by serEne mountains.: 0.9882764220237732,A solitary boat giiding on a moonlit lake surroundeK y serene mountains.: 0.9742954969406128,A solitary boat gliding om a moonlit lake surrouned Sy serenle mountains.: 0.9542017579078674
A solitary boaT gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat gYliding on a moonlit lake surrounded by serEne mountains.: 0.9882012009620667,A solitary boat gliwing in a moonlit lake surrounded b serene mountains.: 0.974213719367981,A solitary boat glidinb Pon a oonlit lake surrunded by serene mountains.: 0.9541246294975281
A solitary boat Gliding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat gliIing own a moonlit lake surrounded by serene mountains.: 0.9879835247993469,A solitary boat glidIing on a oonlit lake surrounded by serene mountain.: 0.9735620021820068,A solitary boat glVding oN a noonlit lake surrounded Ly serene mountains.: 0.9538722634315491
A solitary boat gLiding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat gliding on a moonlit lake usrrounded by sereNe mountains.: 0.9875900745391846,A solitary boat lgiding on a moonlit Lake surrounded by serenr mountains.: 0.9732385277748108,A solitary boat gliding oWn a moonlit lak surrounde by serene moutains.: 0.9536359906196594
A solitary boat glIding on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat glidng on a moonlit lake surrounded by serene mouNtains.: 0.9871880412101746,A soLitary boat gliding on a oonlit lake surrounded bAy serene mountains.: 0.972510576248169,A solitar boat Kliding on a moonlit ake surrounded bYy serene mountains.: 0.9533587098121643
A solitary boat gliDing on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat gviding in a moonlit lake surrounded by serene mountains.: 0.9867109656333923,A solitary boat glidSng kn a moonlit lake surrounde by serene mountains.: 0.9722099304199219,A solitary boat giding ow a moonlit lake surrouned y serene mountains.: 0.9528907537460327
A solitary boat glidIng on a moonlit lake surrounded by serene mountains.: 1.0000001192092896,A solitary boat gliwing on a moonlit lake surounded by serene mountains.: 0.9866443276405334,A solitary boat gliding in a moonlit lak urrounded by serene mountains.: 0.9720271825790405,A solitary boat lgiding om a moonlit Jlake surrounQded by serene mountains.: 0.9515128135681152
