Column 1,Column 2,Column 3,Column 4
6440,9892,9566,8655
A Quaint village square with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestone paths and Jcharming architectuRe.: 0.9985101222991943,A quaint village square with cobblestone paths an tcharming architectre.: 0.9939223527908325,A quaint village square with cobbleston paths add chaSming architectire.: 0.9815880656242371
A qUaint village square with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestonE paths and charming architectrue.: 0.9966748952865601,A quaint village square with cobblEstone patsh ans charming architecture.: 0.9886744618415833,A quaint village square wth cobblestone pathds anD charming archltecture.: 0.9784988760948181
A quAint village square with cobblestone paths and charming architecture.: 1.0000001192092896,A qUaint village square with cobblestone paths an charming architecture.: 0.9956699013710022,A quaint village square witH cobblestoe pahs and charming architecture.: 0.9883230924606323,A quaint village Square with cobblestone pLths anHd charmiJng architecture.: 0.9759612083435059
A quaInt village square with cobblestone paths and charming architecture.: 1.0000001192092896,A Rquaint village square with cobblestone paths and vcharming architecture.: 0.9956300854682922,A quaint village square with cobblestine paths aNd charming architecutre.: 0.987345278263092,A quaint village square with cobblestonf pats end charming architectre.: 0.9749035239219666
A quaiNt village square with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestone paths and tcharming architecure.: 0.9955935478210449,A quaint village square with cobbLestone paths nd charming architectute.: 0.9871560335159302,A quaint village square with cobblestlne pathD Und charming archtiecture.: 0.9747229218482971
A quainT village square with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestone paths and Vcharming architectrue.: 0.9954591989517212,A quaint village square with cobblestone paths an chfrming architectHre.: 0.9868121147155762,A rquaint village square wit cobblestone pKaths and charming architecturg.: 0.9741393327713013
A quaint Village square with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestoe paths and fcharming architecture.: 0.994976818561554,A quaint village square with cobblestone pahts an fcharming architecture.: 0.9866880178451538,A quaint village square wiht cobblestRone paths adn charming architecturf.: 0.9729793667793274
A quaint vIllage square with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestoe paths and mcharming architecture.: 0.9949596524238586,A quaint village square with cobblestine paths ans charming architectUure.: 0.9864989519119263,A quaint village square with cobblestone pats an charmkng architectuore.: 0.9728649258613586
A quaint viLlage square with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint vIllage square with cobblestone paghs and charming architecture.: 0.994304895401001,A quaint village square with cobbleestone paths an charming architectCre.: 0.986246645450592,A quaint village square wth cobblestone pathq adn charming architecNture.: 0.9722368121147156
A quaint vilLage square with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village squarE with cobblestone paths ad charming architecture.: 0.9940717816352844,A quaint village square with cobblestone paths an chraming architecEure.: 0.9858974814414978,A quaint village square Bwith cobblebstone paKhs adn charming architecture.: 0.9713847041130066
A quaint villAge square with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square wth cobblestone paths And charming architecture.: 0.9940052032470703,A mquaint village square with cobblestoe paths an charming architecture.: 0.9853585362434387,A quaint village square Lwith cobblestone paThs and hcarming architectEure.: 0.971069872379303
A quaint villaGe square with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square wiTh cobblestone paths and charming arcUitecture.: 0.9936633706092834,A quaint village square witH cobblestone paths abd charming architectEre.: 0.9838589429855347,A quaint villcge square with cobblestone pathz an Kcharming architecture.: 0.9708303213119507
A quaint villagE square with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint vIllage square with cobblestone paths aand charming architecture.: 0.993183434009552,A quaint village square with cobblestone patGs and chArming architectufe.: 0.9838002324104309,A quaint villge square wit cobblestoe paths and charming architectuer.: 0.9708227515220642
A quaint village Square with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestone paths an charming architectue.: 0.993124783039093,A uquaint village square with cobblestoe pats and charming architecture.: 0.9836578369140625,A Vquaint village Wsquare with cobblestone paths Tand charming architecure.: 0.9705204367637634
A quaint village sQuare with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with Vcobblestone paths and charming architecVture.: 0.9930860996246338,A qUaint village square with cobblestone pahs adn charming architecture.: 0.9831310510635376,A quaint village square iwth cobblestone oaths aTnd charming yarchitecture.: 0.9693752527236938
A quaint village sqUare with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestone paths an charming architectCre.: 0.9929994940757751,A quaint village square wit cobblestone pahs and charming architectupe.: 0.9831192493438721,A quaint village square with cobblestone pathZs adn chamring architeture.: 0.9693352580070496
A quaint village squAre with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestoen paths and charmiNg architecture.: 0.9929980635643005,A quaint village square with cobblestone paMths an charming architectre.: 0.9826912879943848,A quaint village square wth cobblestoqe paths and charmizng architecturf.: 0.9692964553833008
A quaint village squaRe with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestone paths an charming architectuYe.: 0.9929742217063904,A quaint village square wth cobbleston plaths and charming architecture.: 0.9817278385162354,A quaint village square wit cobblestone paths anD charGming architectur.: 0.9691581726074219
A quaint village squarE with cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestonge path and charming architecture.: 0.9928411841392517,A quaint village square with cobblestonr paths an charming aechitecture.: 0.9816220998764038,A quaint village square wit cobbleston patus and charming arhitecture.: 0.9687766432762146
A quaint village square With cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestone paths ad Qcharming architecture.: 0.9926918148994446,A quaint village square with cobblestoe paBths and charming architectuer.: 0.981442928314209,A quaint village square witHh cobblestone aths adn charming aUchitecture.: 0.9680474996566772
A quaint village square wIth cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square wit cobblestone paths and kcharming architecture.: 0.9926013946533203,A quaint village square with cobbleltone oaths adn charming architecture.: 0.9813951849937439,A quaint village square wuth cobblesctone oaths and charming architectkre.: 0.9678494930267334
A quaint village square wiTh cobblestone paths and charming architecture.: 1.0000001192092896,A Uquaint village square with cobblestone paths and charming architectuLre.: 0.992597758769989,A quaint village square with cobblEstone paths and charmkng architenture.: 0.9812581539154053,A quaint village square wth cobblestoZe paUths aod charming architecture.: 0.9677446484565735
A quaint village square witH cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square wth cobblestone paths and Lcharming architecture.: 0.9925872683525085,A quaint village square wiTh cobblestone paths an charming archjtecture.: 0.9810836315155029,A quaint village square wiht cobblestone paths aned charmign archtecture.: 0.9675581455230713
A quaint village square with Cobblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestone pathds and charming architectute.: 0.9925835132598877,A quaint village square wth cobblestYne pahs and charming architecture.: 0.9809779524803162,A quaint village square iwth cobblesyone piaths and charming achitecture.: 0.9674040079116821
A quaint village square with cObblestone paths and charming architecture.: 1.0000001192092896,A quaint village square wit cobblestone paths and charming architecgure.: 0.9924824237823486,A quaint village square wth cobblestone paths an charming Rrchitecture.: 0.9806991219520569,A quaint village square wit cobbleAstone paths adn charming architecturd.: 0.9671680331230164
A quaint village square with coBblestone paths and charming architecture.: 1.0000001192092896,A quaint village square with Cobblestone parhs and charming architecture.: 0.9924601912498474,A quaint village square with cobblestonve paths aInd charming architectuGre.: 0.9805879592895508,A quaint villagE square with cobblestohe ptahs and charming architUcture.: 0.9671513438224792
A quaint village square with cobBlestone paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestoe paths an charming architecture.: 0.9924548864364624,A quaint village square wit cobblestoqe paths aXnd charming architecture.: 0.9804384708404541,A quaint village square wiht cobblestone Spaths anr charming architectuere.: 0.9670917391777039
A quaint village square with cobbLestone paths and charming architecture.: 1.0000001192092896,A fquaint village square with cobblestone paths and charming architecthre.: 0.9922323822975159,A quaint village square with cobblestone path anEd chafrming architecture.: 0.9803033471107483,A quaint village square with cobbleshone pathZ aand charming architecturs.: 0.9670134782791138
A quaint village square with cobblEstone paths and charming architecture.: 1.0000001192092896,A quaint village sQuare with cobblestone pahts and charming architecture.: 0.9922018647193909,A Mquaint village square with cobblestone path and charming architecBture.: 0.9801409840583801,A quaint village square pith cobblestone iaths an sharming architecture.: 0.9668688774108887
A quaint village square with cobbleStone paths and charming architecture.: 1.0000001192092896,A quaint village square With cobblestone pahts and charming architecture.: 0.9922018647193909,A quaint village square with cobblestone path aynd chMarming architecture.: 0.9798792600631714,A quaint village square wFith cobblestOne paths anw charminG architecture.: 0.9663654565811157
A quaint village square with cobblesTone paths and charming architecture.: 1.0000001192092896,A quaint village square with Ccobblestone path and charming architecture.: 0.9920396208763123,A quaint village square with cobblestone paths an charmng architectqre.: 0.9797165989875793,A quaint village square with cobblestone pathqs apnd qcharming architectuer.: 0.9662671089172363
A quaint village square with cobblestOne paths and charming architecture.: 1.0000001192092896,A quaint village square wth cobblestone paths and charming architectre.: 0.9919561147689819,A quaint village square wit cobblestone paths znd charming architectNure.: 0.9796451926231384,A quaint village square wiSth Zcobblestone pPaths and charming Drchitecture.: 0.9659930467605591
A quaint village square with cobblestoNe paths and charming architecture.: 1.0000001192092896,A quaint village square wth cobblestone paths and charming architecturke.: 0.9919436573982239,A quaint village square wit cobblestone paohs and charming architecturye.: 0.9796020984649658,A quaint village square Awith cobblestone pathDs agnd charming architectumre.: 0.9657785892486572
A quaint village square with cobblestonE paths and charming architecture.: 1.0000001192092896,A quaint Village square with cobblestone pathz and charming architecture.: 0.9919295907020569,A quaint village square with cobblestoke paths and charminng arhitecture.: 0.9793503284454346,A quaint village square with dcobblestone pakhs anr charming architectur.: 0.965474009513855
A quaint village square with cobblestone Paths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestonue paths and charming architectre.: 0.9919043779373169,A quaint village Square wth cobblestone paths and charmijng architecture.: 0.9792273640632629,A quaint village square with cobblestoe pahs and charzming architeActure.: 0.965393602848053
A quaint village square with cobblestone pAths and charming architecture.: 1.0000001192092896,A quaint village square with cobblestonw paths an charming architecture.: 0.9918339848518372,A quaint village squar witH cobblestone path and charming architecture.: 0.9791306853294373,A pquaint village square wth cobblestone paths aEnd charming archiPtecture.: 0.9653677344322205
A quaint village square with cobblestone paThs and charming architecture.: 1.0000001192092896,A quaint village square wit cobblestone paths and charming architectrue.: 0.9918276071548462,A quaint village square wth cobblestone paths and charmintg architetcure.: 0.9790478348731995,A quaint village square with cobblestone patsh abd charmzng architeture.: 0.9652050733566284
