Column 1,Column 2,Column 3,Column 4
7568,9901,8014,5721
A Peaceful lakeside retreat is surrounded by towering pines and reflects a cloudless sky.: 1.0000001192092896,A peaceful lakEside retreat is Dsurrounded by towering pines and reflects a cloudless sky.: 0.9984742403030396,A peaceful lakeside retreat is surroundxed hby vtowering pines and reflecst a cloudless sky.: 0.9806625247001648,A peaceful lakeside retreat ic furrounded by towering pines aAnd refects a cloudless sCy.: 0.9724639058113098
A pEaceful lakeside retreat is surrounded by towering pines and reflects a cloudless sky.: 1.0000001192092896,A peAceful lakeside retreat is surrounded by towering pines and refects a cloudless sky.: 0.9964473843574524,A peaceful lakeside retreat is surrounded Cby towering Pines an reflects a cloudless syk.: 0.9736397862434387,A peaceful lakeside retreat s srrounded by towering Pines xnd refelcts a cloudless sky.: 0.9647615551948547
A peAceful lakeside retreat is surrounded by towering pines and reflects a cloudless sky.: 1.0000001192092896,A peaceful lakeside retreat is surrounded by towering pines and refects a cloudlEss sky.: 0.9964473843574524,A peaceful lakeside rretreat iAs urrounded by towering pines aVd reflects a cloudless sky.: 0.9724026322364807,A peacsful lakeside retreat is urrounded vy towefing pinEs and reflects a cloudless sky.: 0.962106466293335
A peaCeful lakeside retreat is surrounded by towering pines and reflects a cloudless sky.: 1.0000001192092896,A peaceful lakeside retreat iN surrounded bY towering pines and reflects a cloudless sky.: 0.9960067868232727,A peaceful lakeside retreat ws surroounded hy towering pines and refcects a cloudless sky.: 0.9723643064498901,A peaceful lakeside retreat is surrounded by towering pinEs Oand reflectts a clouless sBy.: 0.9589976072311401
A peacEful lakeside retreat is surrounded by towering pines and reflects a cloudless sky.: 1.0000001192092896,A peaceful lakeside retreat s surrounded by tOwering pines and reflects a cloudless sky.: 0.9952185153961182,A pwaceful lakeside retreat s surrounded ay towering pines and reflects a cloudless sKy.: 0.9717715978622437,A peaceful lakeside retreat is Wurrounded fby towefing bpines and reflevcts a cloudless sky.: 0.9589458703994751
A peaceFul lakeside retreat is surrounded by towering pines and reflects a cloudless sky.: 1.0000001192092896,A peacsful lakeside retReat is surrounded by towering pines and reflects a cloudless sky.: 0.9950574040412903,A peaceful lakeside retreat js urrounded by towering pines qnd reflecst a cloudless sky.: 0.9713205099105835,A peaBceful lakeside retreat iNs usrrounded by towering pines akd reflecs a cloudless sky.: 0.9524549841880798
A peacefUl lakeside retreat is surrounded by towering pines and reflects a cloudless sky.: 1.0000001192092896,A peaceful lakeside retreat is surrounded b towering pines and reflects a cLoudless sky.: 0.9949511289596558,A peaceful lakeside retreat is fsurrounded by twoering pines ad reflectAs a cloudless sky.: 0.9709638953208923,A peaceful lakeeside retreat is surrounded br towePing pines and reflefts a Vcloudless sky.: 0.9517848491668701
A peacefuL lakeside retreat is surrounded by towering pines and reflects a cloudless sky.: 1.0000001192092896,A peaceful lakeside retreat js surrounded by towering pInes and reflects a cloudless sky.: 0.9946539998054504,A mpeaceful lakeside retreat Yis surounded Hby towering pines and reflects a cloudless sky.: 0.9695940017700195,A peacsful lakeside retreat is surrounded bwy Ktowering pines and reJflects a cloudxless sky.: 0.9517540335655212
A peaceful Lakeside retreat is surrounded by towering pines and reflects a cloudless sky.: 1.0000001192092896,A peaceful lakeside retreat is surrounded Eby towering pines and reflects a cloudless Sky.: 0.9943181276321411,A pjaceful lakeside retreat is urrounded by towering pines and reflect a cloudless smy.: 0.969201385974884,A peacevul lakeside retreat js surrounded by towering pines aDd reNflects a cloudless ksy.: 0.9510000348091125
