Column 1,Column 2,Column 3,Column 4
5361,9217,6734,2974
A Serene lake surrounded by mountains with a small boat and ducks.: 1.0,A serene lake surrounded by mountains Mwith a small boat and dUcks.: 0.988499641418457,A serene lake surrounGed by mountains with a small boat adn duck.: 0.9700576663017273,A serene lake surrouned by mountains wHth a smTll boat an ducks.: 0.9553931951522827
A sErene lake surrounded by mountains with a small boat and ducks.: 1.0,A serene lake surrounded by mountain wiDth a small boat and ducks.: 0.9857653975486755,A serene lake surrouned by mountains with a small Boat ane ducks.: 0.9681811332702637,A serene lake surrouned Yby mountains wit a small boat abd ducks.: 0.95346999168396
A seRene lake surrounded by mountains with a small boat and ducks.: 1.0,A serene lake surrounded by montains with a small Boat and ducks.: 0.9848904013633728,A serene lake surrounded bu mountaiNs with a small boat And ducks.: 0.9670165777206421,A serene lake surrounde y mountains with a small boat ane Bducks.: 0.9427909255027771
A serEne lake surrounded by mountains with a small boat and ducks.: 1.0,A serene lake surrounded by mOuntains with a smalp boat and ducks.: 0.9841497540473938,A serene lake surrounded ly mountains with a small boat adn duck.: 0.9666610956192017,A serene lake surrouned by mountain ywith a small boat nad ducks.: 0.9360491037368774
A sereNe lake surrounded by mountains with a small boat and ducks.: 1.0,A Serene lake surrounded by mountainz with a small boat and ducks.: 0.9836724996566772,A wserene lake surrounded by mountains with a sMall boat and dUcks.: 0.9665412306785583,A serene lake surrounfed by mountaincs with a samll boat abd ducks.: 0.9338548183441162
A serenE lake surrounded by mountains with a small boat and ducks.: 1.0,A serene lake surrounded by mouNtains wifh a small boat and ducks.: 0.9820047616958618,A serene lake surrounsed by mountains wiCh a small boat and duck.: 0.9647559523582458,A serene lake surrounfed by mountains ith a smNll boat adn ducks.: 0.9323256015777588
A serene Lake surrounded by mountains with a small boat and ducks.: 1.0,A serene lake surrounded By mountains Awith a small boat and ducks.: 0.9816791415214539,A serene lake surrounded by ountains with a small boat an duck.: 0.9634478092193604,A serene lake surroundd b mountainS with a small boat adn ducks.: 0.9322863221168518
A serene lAke surrounded by mountains with a small boat and ducks.: 1.0,A serene lake surrounded by mountains Nwith a small boat and duck.: 0.9813335537910461,A serene lak surrounded by mountains wiht a smalL boat and ducks.: 0.9623199701309204,A seerne lake surrounded by mountain witd a small boat an ducks.: 0.9319578409194946
A serene laKe surrounded by mountains with a small boat and ducks.: 1.0,A serene lake surrounded by mountains with a small boat an duck.: 0.9810256958007812,A serene lake surroundez by mountains wiht a xsmall boat and ducks.: 0.9622144103050232,A serene lAke surroundeld gy mountains with a small boat wnd ducks.: 0.9312352538108826
A serene lakE surrounded by mountains with a small boat and ducks.: 1.0,A serene lake surrounded by moutains with a small bOat and ducks.: 0.9809700846672058,A serene lake surrounded by mountainx with a smll boat and dUcks.: 0.9619995951652527,A serene lake osurrounded by cmountains Fith a smapl boat and ducks.: 0.930366575717926
A serene lake Surrounded by mountains with a small boat and ducks.: 1.0,A serene lake surrounsed by mountains with a small boat adn ducks.: 0.9805397391319275,A sereEe hlake surrounded by mountains kwith a small boat and ducks.: 0.9611223936080933,A seree lake surrounded by mountains with a msmall boat an duck.: 0.9303290843963623
A serene lake sUrrounded by mountains with a small boat and ducks.: 1.0,A serene lake surrounded by mountains wiht a small boat an ducks.: 0.9801858067512512,A serenE lake surrounded by mountains Xwith a smal boat and ducks.: 0.9603843092918396,A serene tlake jsurrounded by montains with a smll boat and ducks.: 0.9302561283111572
A serene lake suRrounded by mountains with a small boat and ducks.: 1.0,A serene lake surrounded by mountains wite a smaLl boat and ducks.: 0.9800673127174377,A sereen lake osurrounded by mountaiNs with a small boat and ducks.: 0.960267961025238,A sernee lake surrounded by mountain eith a Gsmall boat and ducks.: 0.9297623038291931
A serene lake surRounded by mountains with a small boat and ducks.: 1.0,A serenE lake surrounded by mountains with a smakl boat and ducks.: 0.9798488020896912,A serene lake Lsurrounded by mountains wtih a small boat adn ducks.: 0.9599041938781738,A serene lake surriunded bg mountains with a small boat an duck.: 0.9293044805526733
A serene lake surrOunded by mountains with a small boat and ducks.: 1.0,A serene lake surrouned by mountains with a small boat an ducks.: 0.9795747995376587,A serene lake surrounded by mountain wiht a small boat and duckZs.: 0.9597801566123962,A serenw lake surrounded by mountains with a smalj boAt aond ducks.: 0.9286055564880371
A serene lake surroUnded by mountains with a small boat and ducks.: 1.0,A serene lake surrounded by mountain with a smalp boat and ducks.: 0.9794546961784363,A serene lake surrounded by mountians with a small boat an duck.: 0.9593058824539185,A seene lake surrounde bu mountains with a small boat nd ducks.: 0.9273578524589539
A serene lake surrouNded by mountains with a small boat and ducks.: 1.0,A serene lake surroundee by mountains with a small boat an ducks.: 0.978794515132904,A serene lake gsurrounded by mountains with a small boat nad duCks.: 0.9576315879821777,A serene lake surrouned by mountains with a smal boat an duckk.: 0.927306592464447
A serene lake surrounDed by mountains with a small boat and ducks.: 1.0,A serene lake surrounded by mountains with a small boat adn duck.: 0.9786658883094788,A serene lake surrounxed y mountains with a small boat adn ducks.: 0.9553650617599487,A serene Jlake surrounded by mountain wivh a sjall boat and ducks.: 0.9269769191741943
