Column 1,Column 2,Column 3,Column 4
6222,9800,9004,7125
A Country road flanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanked by fieLds of wildflowers leading so distant hills.: 0.9941563606262207,A country road flanked by field of wildflowers leading t distant hill.: 0.9844807386398315,A country road flanked by field pf wildflowers leding to ddistant hills.: 0.9737776517868042
A cOuntry road flanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanked By fields of wildflowers leading to distant hill.: 0.9934810400009155,A country road flanked by field of wildflowers leading yo distant hill.: 0.9839226603507996,A country road flanked y field of wildflowers leading tI distant hill.: 0.9713165760040283
A coUntry road flanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanMked by field of wildflowers leading to distant hills.: 0.9932258725166321,A Ccountry road flanked by fields of wildflowers leading t distant hill.: 0.9817616939544678,A country road flanMked y fields of wildflowers leading ro distanT hills.: 0.9680706858634949
A couNtry road flanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanked by fields of wildflowers leading too distant hilLs.: 0.99319988489151,A country road flanked by field of wildflowers lsading yo distant hills.: 0.9811861515045166,A contry road flanked By fields of wildflowerS leading to distant hillK.: 0.9672735333442688
A counTry road flanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanked by field of wildflowers leaing to distant hills.: 0.9930136203765869,A country road flanked by field of wildflowers leadng o distant hills.: 0.9808216094970703,A country road flanked by field of wildflowers leadin ro dsitant hills.: 0.9659514427185059
A countRy road flanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanPed by fields o wildflowers leading to distant hills.: 0.9915396571159363,A country road flanked by fields of wildflowers leaing fo distant hillRs.: 0.9794647693634033,A country road flanked by field of wildflowers leadinQ t distant ills.: 0.9656869769096375
A countrY road flanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanked by field of wildflowers leaPding to distant hills.: 0.9915023446083069,A countrm road flanked by fields of wildflowers leadign fo distant hills.: 0.9794595837593079,A country road flanked by fields xof wildflowers ieading fo Jdistant hills.: 0.9642365574836731
A country Road flanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanked by field of wildflowers leading o distant hills.: 0.9914324283599854,A country road flanked by fields of wildflowers leadiZg ot distant hill.: 0.9790534973144531,A countrh road flanked by fields of wildflowers lEeading to dhstant fhills.: 0.964208722114563
A country rOad flanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanked by field of wildflowers leaeing to distant hills.: 0.9910367727279663,A country road flanked by fields of dwildflowers leaidng ti distant hills.: 0.9780656695365906,A country road flanked by fielde o wildflowers eading o distant hills.: 0.9638195037841797
A country roAd flanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanked by field of wildflowers leading hto distant hills.: 0.9909605383872986,A country road flaned by fields Of wildflowers leading Hto distant hills.: 0.9777870774269104,A Uountry road tflanked by fields of wildflowers teading t distant hills.: 0.9637674689292908
A country roaD flanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanked by fields of wildflowers Leading t distant hills.: 0.9909346103668213,A coUntry road flanked by fields of wildflowers lading tgo distant hills.: 0.9776936173439026,A country road fanked b field of wildflowers leading ro distant hills.: 0.963749885559082
A country road Flanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanked by field of wildflowers leaidng to distant hills.: 0.990811288356781,A ccountry road flanked by fields of wildflowers leadinb tFo distant hills.: 0.977154552936554,A country road sflanked by fields of Mwildflowers ieading to distant hilks.: 0.9614555239677429
A country road fLanked by fields of wildflowers leading to distant hills.: 1.0,A country road flanked by field of wildflowers leading ro distant hills.: 0.9907456040382385,A country road flanwked by fields of wildflowers peading to distant hillT.: 0.9767771363258362,A country road flanked fby field of wildflowers laeding ti distant hills.: 0.961178183555603
A country road flAnked by fields of wildflowers leading to distant hills.: 1.0,A country road flanked by fields of wildflowers leading lo ydistant hills.: 0.990409255027771,A country road flakned by field of wildflowers leaeing to distant hills.: 0.9763709902763367,A countrh road flanked by fields of wildflowers Cleading so dSistant hills.: 0.9608396887779236
