Column 1,Column 2,Column 3,Column 4
5514,9151,7479,4699
A Vintage bookstore with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusTy shelves and a creaAking wooden floor.: 0.9984418749809265,A vintage bookstore wit duSty shelves and a creXaking wooden floor.: 0.9812678694725037,A vintagd bookstore with udsty shelves and a craeking woodeN floor.: 0.9729734659194946
A vIntage bookstore with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookStore with dusty shelves and a craeking wooden floor.: 0.9976010918617249,A vintage bookstore with dusty shelves nad a crezking wooden Floor.: 0.9807473421096802,A vintage bookstore with dust shelve an a creaing wooden floor.: 0.9703459143638611
A viNtage bookstore with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusTy shelves and a ceraking wooden floor.: 0.997491180896759,A vintage bookstore with dusty shelves aNd a reaking woTden floor.: 0.980218231678009,A vintage bookstore With dunty shelves adn a creVaking wooden floor.: 0.96917724609375
A vinTage bookstore with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a ceraking uwooden floor.: 0.9967878460884094,A vintage bookstore with dust shelve adn a creaking wooden floor.: 0.97992342710495,A vintage bookstore wth dusty shelvEs kand a creZaking wooden floor.: 0.9668756127357483
A vintAge bookstore with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookStore with dusty shelves and a creakin wooden floor.: 0.9954476952552795,A vintage bookstore with dusty shelves nad a reaking Wooden floor.: 0.9796572327613831,A Nvintage bookstore wth husty shelves and a creaking Wooden floor.: 0.9645797610282898
A vintaGe bookstore with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shElves and a creaksing wooden floor.: 0.9952846765518188,A vintage bookstore With dusey shelves adn a creaking wooden floor.: 0.9795485138893127,A vintagY bookstore with dusty shelves an a cSreaking Bwooden floor.: 0.9642900228500366
A vintagE bookstore with dusty shelves and a creaking wooden floor.: 1.0,A vintaGe bookstore with dusty shelves and a crezking wooden floor.: 0.9944971799850464,A vintage bookstore with dustY shelves and a creqking wpoden floor.: 0.9791000485420227,A vintagFe bookstore wiht dusty shelves nad a creakin wooden floor.: 0.9642589092254639
A vintage Bookstore with dusty shelves and a creaking wooden floor.: 1.0,A vintage booKstore with dusty shelves and a crezking wooden floor.: 0.9944971799850464,A vintage bookStore with dusty shelves and a creaSing dooden floor.: 0.9787012934684753,A vintage bookstore wih idusty shelves nad a creaklng wooden floor.: 0.9622730612754822
A vintage bOokstore with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a craking jwooden floor.: 0.994430661201477,A tvintage bookstore with Xdusty shelves and a creaking Ywooden floor.: 0.9786501526832581,A vintagy bookstore hith duslty shelves an a creaking wooden floor.: 0.9620859622955322
A vintage boOkstore with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a creaikng hwooden floor.: 0.99322110414505,A vintage bookstore with dusty shelves an a creakng woodeN floor.: 0.9774494767189026,A vintage bookstore wit dsty shelves nad a craeking wooden floor.: 0.9614959359169006
A vintage booKstore with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dustY shelves and a crfaking wooden floor.: 0.9926247596740723,A vintage bookstore with Zdusty shelves and a craking woodne floor.: 0.9764886498451233,A vintage bookStore wilth dusty shelves and a creaging Wwooden floor.: 0.9613460302352905
A vintage bookStore with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a creakign wooDen floor.: 0.9923503994941711,A vintage bookstore with dusty shelves anx a ceraking wooden floOr.: 0.975914478302002,A vintage bookstore wth dusyt shelves and a hcreaking lwooden floor.: 0.961223304271698
A vintage booksTore with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a creJking Xwooden floor.: 0.9922114610671997,A vintage bookstore with dust shelve kand a creaking wooden floor.: 0.9756699800491333,A vintagE bookstore wit usty shelves ad a creaking wooden floor.: 0.960823118686676
A vintage bookstOre with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty sHelves and a crraking wooden floor.: 0.9915493726730347,A Vvintage bookstore with dusty shelves avd a ceraking wooden floor.: 0.9755854606628418,A vintage bookstore wiht dusty shelve Fand a craking wooden floor.: 0.960762619972229
A vintage bookstoRe with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a craeking woodn floor.: 0.9911032915115356,A vintage bookstore with dusty shelves aYnd a crexking Lwooden floor.: 0.9750721454620361,A vintagr bookstore with udsty hshelves and a reaking wooden floor.: 0.9596391916275024
A vintage bookstorE with dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a crfaking Mwooden floor.: 0.9908939599990845,A vintage bookstore wEth Dusty shelves an a creaking wooden floor.: 0.9747768640518188,A vintage bookstore wih dOusty shelveS and a reaking wooden floor.: 0.9595149159431458
A vintage bookstore With dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with Hdusty shelves and a creabking wooden floor.: 0.990321934223175,A vintage bookstore wth dusty shelves and a creakinQg woodwn floor.: 0.9746171236038208,A vintage bookstore with udsty shelpves abd a creaking nwooden floor.: 0.9591253399848938
A vintage bookstore wIth dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a jcreaking vwooden floor.: 0.9899753332138062,A vintage bookstore wit dusty shelves nad a creakign wooden floor.: 0.9743154644966125,A vintage bookstore wiht dbsty shelves and a reaking wooDen floor.: 0.9588196277618408
A vintage bookstore wiTh dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty Lshelves and a Gcreaking wooden floor.: 0.9894887804985046,A vintage bookstore with dusty shelve anod a rceaking wooden floor.: 0.9728402495384216,A vintage bookstore wiwh dusty shelves adn a vreaking bwooden floor.: 0.958466649055481
A vintage bookstore witH dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves aSnd a creaing wooden floor.: 0.9892804622650146,A vintage bookstore with udsty shelves and a creakinY woodn floor.: 0.9727662801742554,A vintagd bookstore with dousty shelves adn a acreaking wooden floor.: 0.9584475755691528
A vintage bookstore with Dusty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a creIking woodn floor.: 0.9891836047172546,A vintagke bookstore wWith dusty shelves and a craeking wooden floor.: 0.9725419282913208,A vintage bookstore wit djsty shelves nad a hcreaking wooden floor.: 0.9582111239433289
A vintage bookstore with dUsty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with Jdusty shelves and a creaking woOden floor.: 0.9891635775566101,A vintage bookstore with dusty shelges adn a ceraking wooden floor.: 0.9725340008735657,A tvintage bookstore wiht dusty shelves nad a ceraking wooden floor.: 0.9582054615020752
A vintage bookstore with duSty shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves adn a creaking wooden Floor.: 0.9891413450241089,A vintagr bookstore with dusty shelves adn a craeking wooden floor.: 0.9724780917167664,A vintage bookstore wiht duty shelveD and a creking wooden floor.: 0.9579905867576599
A vintage bookstore with dusTy shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves aBnd a cLeaking wooden floor.: 0.9889287948608398,A vintage bookstore with dudsty shelves gnd a craeking wooden floor.: 0.9716103672981262,A vintage bookstore wigh Wdusty shelves an a creakFng wooden floor.: 0.9578227400779724
A vintage bookstore with dustY shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a creking wooden mfloor.: 0.9888480305671692,A vintage bookstore with dusty qshelves adn a creakign wooden floor.: 0.971483051776886,A vintage bookstore wih udsty shelves nad a crHeaking wooden floor.: 0.9575965404510498
A vintage bookstore with dusty Shelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a creakin woodn floor.: 0.9887209534645081,A vintage bookstore with Adusty zshelves And a creaking wooden floor.: 0.9714503884315491,A vintagNe bookstore wth duVty shelves adnd a creaking wooden floor.: 0.9574125409126282
A vintage bookstore with dusty sHelves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a creakin woodne floor.: 0.9886073470115662,A vintage bookstore with dustg shelves adn a creakin wooden floor.: 0.9713670611381531,A vintage bookstore wihh dustH shelves adn a creaking wWooden floor.: 0.9565245509147644
A vintage bookstore with dusty shElves and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a creakizg owooden floor.: 0.9885523319244385,A vintage bookstore with dusty shelves amd a creaikng Lwooden floor.: 0.9709786176681519,A vintage bookstore wth dust shelves adn a rceaking wooden floor.: 0.9559759497642517
A vintage bookstore with dusty sheLves and a creaking wooden floor.: 1.0,A vintage bookstore with Rdusty shelves and a creaking kwooden floor.: 0.9884992241859436,A vintage bookstore with dudty shelves nad a creaeking wooden floor.: 0.97089684009552,A vintage bookstore wiht dusqy shelves Xand a creaking cwooden floor.: 0.9558596611022949
A vintage bookstore with dusty shelVes and a creaking wooden floor.: 1.0,A vintage bookstore wIth dusty shelves and a creakihg wooden floor.: 0.9883957505226135,A vintage bookstore wit dusty shelves nad a ceraking wooden floor.: 0.970788836479187,A vintage bookstore with dusty shelves adn a creakng wooeen Lfloor.: 0.9557909369468689
A vintage bookstore with dusty shelvEs and a creaking wooden floor.: 1.0,A vintage bookstore with dusty shelves and a creakng wooden hfloor.: 0.9883703589439392,A vintage bookstore wth dusty shelves ad a creakin wooden floor.: 0.9707514047622681,A vintagD bookstore with wusty shelves nad a creaking ewooden floor.: 0.955316424369812
