Column 1,Column 2,Column 3,Column 4
5438,5437,8694,5573
A Bedroom with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A Bedroom with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A Bedroom with soft moonlight streaming through sheer Ycurtains.: 0.9906700849533081,A bedrOom with soft moonlight streamng through sheelr curtains.: 0.9717146158218384
A bEdroom with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bEdroom with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedroom with soft moonlight streamig through sheEr curtains.: 0.9905204176902771,A bedroom witH soft moonlght streamng through sheer curtains.: 0.9701729416847229
A beDroom with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A beDroom with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedroom with sOft moonlight steaming through sheer curtains.: 0.9892698526382446,A bedrooM with sofvt Moonlight streaming through sheer curtains.: 0.9697167873382568
A bedRoom with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedRoom with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedroom with soft moonlight streaminvg through sHeer curtains.: 0.988257884979248,A bedroom with soft moonlight streamng rhrough sheer curtain.: 0.9657987356185913
A bedrOom with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedrOom with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A beDroom with soft moonlight straeming through sheer curtains.: 0.9865598082542419,A lbedroom with soft moonlight streamLng througn sheer curtains.: 0.9654878973960876
A bedroOm with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedroOm with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedroom with soft moonlight wstreaming trough sheer curtains.: 0.986193060874939,A bedroOm with soft moonlight straeming through shter curtains.: 0.9592177867889404
A bedrooM with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedrooM with soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedroom with soft moonlight Hstreaming through sheer curtain.: 0.9860261082649231,A bedroom with soRft moonlight streaminy thRough sheer curtains.: 0.9587695598602295
A bedroom With soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedroom With soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedroom with soft moonlight streamign through sheer cuRtains.: 0.985008716583252,A bedroom with soft moonlight stVreaming trough sueer curtains.: 0.9578188061714172
A bedroom wIth soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedroom wIth soft moonlight streaming through sheer curtains.: 0.9999999403953552,A bedroom with soft moonlight streamnig thRough sheer curtains.: 0.984736979007721,A bedroom with swoft moonlight streming through sheer kcurtains.: 0.9575570225715637
