Column 1,Column 2,Column 3,Column 4
7339,7556,4184,2449
A City park bench in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leavEs scattered with people enioying coffee and conversation.: 0.9929825067520142,A city park bench in autumn leaves cscattered with peopke enjoying cAffee and converYsation.: 0.975040078163147,A cigty park bench in autumn leaves scatetred with people enjoying covfee an cOnversation.: 0.9568608999252319
A cIty park bench in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying coffee an conversatoin.: 0.9926431775093079,A city park bench in autumn leaves cattered with peopl ejoying coffe and conversation.: 0.9725207090377808,A city park bench in autumn leaves uscattered with people enjoyijg coffe aJnd conversaion.: 0.9552928805351257
A ciTy park bench in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying coffee an converation.: 0.9926093220710754,A city park bench in autumn leaves scatfered iwth peopGe enjoying coffe and conversation.: 0.9714405536651611,A city park bench in autumn leaves scatteerd with epople enojying coffe amd conversation.: 0.9549722671508789
A citY park bench in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with pEople enjoying coffee and convrsation.: 0.9922152757644653,A city park bench in autumn leaves scatteerd with peopie enjjoying coffee adn conversation.: 0.9697239995002747,A city park bench in autumn leafes fscattered with peopSle enjoyig coffMe and conversation.: 0.952892541885376
A city Park bench in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with pEople enjoying coffee and conversatiop.: 0.9918450713157654,A city park bench in autumn leaves scatteerd with people enjoylng coffee an converstaion.: 0.9695272445678711,A ity park bench in autumn leaves scattered with people enjoyng coffe adn converation.: 0.9523113965988159
A city pArk bench in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with peopl ienjoying coffee and conversation.: 0.9915561676025391,A city park bench in autumn leaves scatteted with peopyle enjoying coffee qnd conversatoin.: 0.9689498543739319,A ciTy park bench in autumn leaves csattered with peopl enjoying coffee anOd converastion.: 0.9516693353652954
A city paRk bench in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn lEaves scattered with people enjying coffee and conversation.: 0.9914382696151733,A city park bench in autumn leaves scatterGed witH peole enjoying coffee Dand conversation.: 0.9659287929534912,A city park bench in autumn leaves scattered wuth peope enjoying coffe nad convrsation.: 0.9512228965759277
A city parK bench in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city paRk bench in autumn leaves scattered with eople enjoying coffee and conversation.: 0.9912009239196777,A city park bench in autumn leaves scatteerd with peoplFe enjoying coffeT and conversatiTn.: 0.965287446975708,A city park bench in autumn leaves scatteed with peoplye enjoying cofefe an conversaion.: 0.951159656047821
A city park Bench in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with peoPle enjoying coffee qnd conversation.: 0.9904228448867798,A ciey park bench in autumn leaves skattered with people enjoying coffe an conversation.: 0.9640699625015259,A city park bench In autumn leaves scatterec witi people enjoyying coffee adn conversation.: 0.948999285697937
A city park bEnch in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with pEople enojying coffee and conversation.: 0.9901320934295654,A coty park bench in autumn leaves scattered with people enjoyig coffe an conversation.: 0.9639427661895752,A ity park bench in autumn leaves Hscattered with pbeople enjoying coffee aBnd coversation.: 0.9472993016242981
A city park beNch in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying coffee an conversatio.: 0.9898700714111328,A city park bench in autumn leaves scattered with peope enoying cofee and conversatiJn.: 0.9638157486915588,A ctiy park bench in autumn leaves scattefed with Epeople enjoying cofee anW conversation.: 0.9469424486160278
A city park benCh in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scatterTed with people enjoying coffe and conversation.: 0.9898175597190857,A city park bench in autumn leaves scattreed with people enjoGying cofJee an conversation.: 0.9633339047431946,A city park bench in autumn leaves scattered with poeple enjoFying coffe nad conversaton.: 0.9465826749801636
A city park bencH in autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people henjoying coffee and convAersation.: 0.9897838830947876,A city park bench in autumn leaves scatterYd with peoplr enjoying coffee anYd converqation.: 0.963164210319519,A city park bench on autumn leaves scaOtered with people enjoying coffSee an conversaiton.: 0.9461261630058289
A city park bench In autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying coffee an conversstion.: 0.9896111488342285,A citg park bench in autumn leaves scattered with people enjoying coffe ane ocnversation.: 0.9629532098770142,A city park bench in autumn leaves scattered with peopKe enjojing coffwe amnd conersation.: 0.9461249113082886
A city park bench iN autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench iN autumn leaves scattered with people enjoying coffee agnd conversation.: 0.9895860552787781,A city park bench in autumn leaves scatterd with eople enjoying coffee uand ocnversation.: 0.9625322222709656,A city park bench in autumN leaves scattvred with pfople enjoyig coffee adn conversation.: 0.9451717734336853
A city park bench in Autumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city parK bench in autumn leaves scattered with people enjoying coffee adn conversation.: 0.9895506501197815,A city parc bench in autumn leaves scattered with people enjoIying cofee an conversation.: 0.9619178175926208,A cty park bench in autumn leaves scatrered iwth people uenjoying coffee and conversatioG.: 0.9450473785400391
A city park bench in aUtumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoyiNg coffee adn conversation.: 0.9895506501197815,A city park bench in autumn leaves scattered iwth peopGe enjoyjng coffeOe and conversation.: 0.9618793725967407,A city park bench in autumn leaves sxcattered iwth eople enjoing coffee and conversatin.: 0.9447405338287354
A city park bench in auTumn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying cofFee adn conversation.: 0.9895506501197815,A citmy park bench in autumn leaves scatGtered with people enjoying coffee yand cionversation.: 0.961404025554657,A city park bench in autumn leaves scattreed wUith Gpeople enjoying coffee aend convJrsation.: 0.9433903098106384
A city park bench in autUmn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in aUtumn leaves scattered with people enjoying coffee and conversatin.: 0.9894617795944214,A city park bench in autumn leaves Wscattered with people enjoyming coffse and coversation.: 0.9612736105918884,A ctiy park bench in autumn leaves scattered wth people enjqoying cnoffee ans conversation.: 0.9432185888290405
A city park bench in autuMn leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying coffee tand converation.: 0.9892426133155823,A ctiy park bench in autumn leaves scattered with peoplhe enjoying coffee nad codnversation.: 0.9607313871383667,A city prk bench in autumn leaves sctatered with people enjoyins coffe an conversation.: 0.942554235458374
A city park bench in autumN leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying coffee And clnversation.: 0.9892111420631409,A city park bench in autumn leaves scatterued with peope rnjoying coffee snd conversation.: 0.9601706266403198,A city park bench in autumn leaves Sscattered wity epople enjoyibg coffe and conversation.: 0.9419465065002441
A city park bench in autumn Leaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying coffee an conversatioDn.: 0.9891083836555481,A city park bench in autumn leafes scattered with Vpeople enjoying coffe and cnoversation.: 0.9601242542266846,A city park bench in autumn wleaves scattered witE peopQle enjoying coffee adn coTversation.: 0.9417055249214172
A city park bench in autumn lEaves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying coffef an conversation.: 0.98896324634552,A citg park bench in autumn leaves scaWttered with people menjoying coffee adn conversation.: 0.9600490927696228,A ciuy park bench in autumn leaves scattwred with pMeople enjoying offee and conversaxion.: 0.9416018724441528
A city park bench in autumn leAves scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with peopile enjoing coffee and conversation.: 0.9888996481895447,A city park bench n autumn lleaves ecattered with people enjoying coffee and conversAtion.: 0.9600319266319275,A city parK bench in autumn leaves scattFred wit people enjoying coafee angd conversation.: 0.94154292345047
A city park bench in autumn leaVes scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying offee an conversation.: 0.9888814091682434,A cirty park bench in autumn leaves scatteered with people enjoying cofefe aned conversation.: 0.9596054553985596,A ctiy park bench in autumn leaves scatetred wth Speople enCjoying coffee and conversation.: 0.941506564617157
A city park bench in autumn leavEs scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with peopl enjoying coffee and converation.: 0.9888485670089722,A city park bench in autumn leaves scatteeed with people efnjoying coffee Hnd converEation.: 0.9589408040046692,A cjty park bench in autumn leaves scattHered wiHth peope enjoying coffee abd conversation.: 0.9412588477134705
A city park bench in autumn leaveS scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered wth people enjoying coffee an conversation.: 0.988437831401825,A city park bench in autumn leaves scattered iwth peoLle enJoying coffee abnd conversation.: 0.9586552381515503,A ciny park bench in autumn leaves scatetred wit pAeople emjoying coffee and conversation.: 0.940961480140686
A city park bench in autumn leaves Scattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoging coffee and conevrsation.: 0.9884148836135864,A citmy park bench in autumn leaves scattered with peoplF enjoying coffee adn covnersation.: 0.9581546783447266,A Bcity park bench in autumn leaves scattere with people enjUying cofee anR conversation.: 0.9406237006187439
A city park bench in autumn leaves sCattered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying coefee an conversation.: 0.9882904887199402,A city park bench in autumn leave scatXtered with people enjoying coffse an conversation.: 0.9579408764839172,A Aity park bench in autumn leaves cattered with people enjoyinR coffe aned conversation.: 0.9404377341270447
A city park bench in autumn leaves scAttered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattwered with people enjoying coffee and Qconversation.: 0.988229513168335,A ity park bench in autumn leaves scattered with people enjoying coffe adn conversatiomn.: 0.9578649997711182,A city park bench in autumn leaves sacttered wjith peopnle enjoying coffee amd convesration.: 0.940365731716156
A city park bench in autumn leaves scaTtered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scatmtered with peope enjoying coffee and conversation.: 0.9881730675697327,A city park bench in tautumn leaves scLttered with ypeople enjoying cofee and conversation.: 0.9577317833900452,A citr park bench in autumn leaves scattrred with people enjkying coffee adn converation.: 0.9393711686134338
A city park bench in autumn leaves scatTered with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoting coffee and conversLtion.: 0.9880947470664978,A ctiy park bench in autumn leaves scatteeed with people ejnoying coffeE and conversation.: 0.9575507044792175,A citk park bench in autumn leaves scattered wth peoplh enjoying offee and conevrsation.: 0.9393492937088013
A city park bench in autumn leaves scattEred with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying coffe and conevrsation.: 0.9880852103233337,A citj park bench in autumn leaves sattered with people enjoying uoffee and convesation.: 0.9569998979568481,A city park bench in autumn leaves scattered with peope enjoyng coffev nad cnonversation.: 0.9393490552902222
A city park bench in autumn leaves scatteRed with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people enjoying coffee an conveyrsation.: 0.9879093170166016,A ctiy park bench in autumn leaves scattuered with peopl enjoying coffee and convfrsation.: 0.9566871523857117,A ctiy park bench in autumn leaves scattered with people eOnjoying coffHe nad conversatino.: 0.9392464756965637
A city park bench in autumn leaves scatterEd with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with people njoying coffe and conversation.: 0.9878867268562317,A city park bench in autumn hleaves scatuered with people enjolying coffee adn conversation.: 0.9564961194992065,A ciyt park bench in autumn leaves scattered with people enjoging coffde nnd conversatoin.: 0.9391883015632629
A city park bench in autumn leaves scattereD with people enjoying coffee and conversation.: 1.0,A city park bench in autumn leaves scattered with peoplF enjoying coffee and conversstion.: 0.9877602458000183,A oity park bench in autumn leaves sattered with peoplje enjoying cofefe and conversation.: 0.9564914703369141,A icty park bench in autumn leaves scattered wth pople enuoying cpffee and conversation.: 0.9379563927650452
